name,category,latitude,longitude,distance_from_center_km
Vélorution,amenity,48.8522762,2.367359,0.3440416383268477
,amenity,48.8511102,2.3629453,0.4734226373420603
Robert et Louise,amenity,48.8590844,2.3594957,0.6189567409166702
Bimba y Lola,shop,48.8583528,2.3594732,0.5642894816450755
Omm Studio,leisure,48.8578902,2.3666463,0.32861808130282605
Le Café Chinois,amenity,48.8571278,2.3659772,0.23419164152332958
BAR'EN,amenity,48.8575642,2.3677839,0.33107435817099584
École primaire privée Sainte-Geneviève du Marais,amenity,48.8569463,2.3648093,0.21263414478807657
babka zana,shop,48.8560566,2.3669544,0.16229012743666396
The Brooklyn Pizzeria,amenity,48.8559327,2.3681748,0.22988631109536414
Rapid'Market,shop,48.8574741,2.3678227,0.3243074359217974
Kitclope,shop,48.8573367,2.3678545,0.3131806991476574
,amenity,48.8552423,2.3604924,0.35562581807078564
Au Lèche Vin,amenity,48.854971,2.370733,0.39655196296185713
,amenity,48.8582445,2.363615,0.3752861162222309
,amenity,48.8570556,2.3709415,0.46741862800927836
L'Area,amenity,48.8542854,2.3674309,0.17683478755200968
Brasserie Bofinger,amenity,48.8539095,2.3680433,0.23694087591960503
LCL,amenity,48.8533487,2.3667989,0.21920973885223308
Bistrot d'Antoine,amenity,48.8536236,2.3667526,0.19129518811399465
Les Coiffeurs de la Rue,shop,48.8537064,2.3670054,0.19478272722638457
,amenity,48.8537034,2.366474,0.17314472571252174
,amenity,48.8536267,2.3664311,0.17921415157661044
,amenity,48.8549093,2.3613851,0.290093724076744
Nicolas,shop,48.854701,2.3622011,0.23324161500851615
Paul,shop,48.8546743,2.3622923,0.22720366761975988
BNP Paribas,amenity,48.8555413,2.3603315,0.37068408718947493
Loft Design By…,shop,48.8574136,2.3615631,0.38031660658764477
Ted Baker,shop,48.8573534,2.3617134,0.36771139930493324
Le Petit Dakar,amenity,48.8580531,2.361319,0.4439196712682192
Les Opticiens Mutualistes,shop,48.8582085,2.368209,0.40836954809611986
pure rider mobility,shop,48.8583208,2.3681813,0.4180875827970903
Partea,amenity,48.8568361,2.3685092,0.30522293720513743
Verace Bastille,amenity,48.8551848,2.3721148,0.4979903062837925
"La Cave, à la Bastille",shop,48.8554417,2.3709697,0.4158903030495011
Street Bangkok,amenity,48.8541845,2.3710869,0.4336002566419224
Taj,amenity,48.8545653,2.3718855,0.4841954478251375
Sukiyaki,amenity,48.8535712,2.3707338,0.42989368002909545
Sushi Rainbow,amenity,48.8545664,2.3710039,0.41997783333929245
Franprix,shop,48.8572166,2.3695545,0.39150611270464786
Picard,shop,48.8572497,2.3698076,0.40854497361916026
MK2 Bastille (côté Beaumarchais),amenity,48.8546337,2.3690906,0.2800356001199055
Librairie du Temple,shop,48.8578215,2.3585267,0.5858786923382787
Librairie du Globe,shop,48.8578192,2.3677027,0.3522278462042696
Librairie Henri IV,shop,48.851529,2.3631334,0.42506864629113356
,shop,48.8518805,2.36429,0.362340572687881
Jean Louis David,shop,48.852005,2.3647024,0.34346171365003275
Bexley,shop,48.8523316,2.3658029,0.30599369778165586
valessio,shop,48.8525903,2.3666505,0.2917923783025623
Biocoiff,shop,48.852322,2.366898,0.3260459588694132
L’Hirondelle,amenity,48.8523717,2.3671222,0.3271368410332507
White Boutik,shop,48.8527773,2.3672713,0.2915897082980635
Centre culturel suisse,amenity,48.8585275,2.3597684,0.5611147428986001
,shop,48.8529638,2.3701915,0.4264376250074055
Méo,amenity,48.8547342,2.3620547,0.2432421026273614
,amenity,48.8555111,2.3595266,0.42882752460161133
Marché Bastille,amenity,48.8548372,2.3698924,0.3356880584009839
,leisure,48.8580141,2.3713244,0.5485840011020922
Le Petit Marché de Bastille,shop,48.8550646,2.3706251,0.388494211856705
La Carte des Vins,shop,48.8557507,2.3687883,0.2648970965055501
École Maternelle,amenity,48.8552285,2.3664947,0.08729213010926422
Grand Appétit,amenity,48.8517277,2.3664938,0.3808672983338523
COS,shop,48.8566369,2.3606497,0.38542610682427353
Pizza Julia,amenity,48.8516214,2.3720475,0.6242096659631166
Le Village Saint-Paul,tourism,48.8533959,2.3610703,0.36365095090767974
,amenity,48.8527719,2.3604742,0.43828916998042117
,amenity,48.8527916,2.360849,0.41489053809670434
,amenity,48.85292,2.3600286,0.45644994656932303
,amenity,48.8531602,2.3598156,0.45686097439008677
,amenity,48.8532277,2.3589001,0.5142929242446667
,amenity,48.8534869,2.3593371,0.4736071074994626
,amenity,48.8540659,2.3610972,0.32999011007590556
,amenity,48.8541003,2.3609648,0.33791950076020094
Collège Victor Hugo,amenity,48.8575432,2.3631867,0.3173061890170547
,amenity,48.8507792,2.3673682,0.4995596102196921
,amenity,48.8516928,2.361908,0.45142160700137585
,amenity,48.8518366,2.361676,0.44820198324262805
,amenity,48.8521525,2.3608127,0.46356331424567554
,amenity,48.8522569,2.3609901,0.4461382531079421
,amenity,48.8526958,2.359318,0.513974767982545
,amenity,48.8527306,2.3599126,0.4749095888957531
,amenity,48.852753,2.3589048,0.5371579298906642
,amenity,48.8531452,2.3585903,0.538802057702734
,amenity,48.853558,2.3672127,0.21718899376105066
,amenity,48.8537016,2.3654221,0.15182205282902078
,amenity,48.854664,2.3625113,0.2116909405743085
,amenity,48.8551384,2.3611843,0.30441597040258117
,amenity,48.855169,2.3610559,0.31394145057674194
Le Pavillon Bastille,tourism,48.8508057,2.3698822,0.5796206516108937
Amplifon,shop,48.851017,2.3699017,0.5614328414568736
Les Associés,amenity,48.8515362,2.3695338,0.4991654604961237
Le Bastille,amenity,48.8537085,2.3705075,0.408746755291784
Falstaff,amenity,48.8537231,2.370243,0.39014930468231795
Oh la la !,amenity,48.8534314,2.3706101,0.4279040632176245
Glace Room,amenity,48.8533833,2.3705439,0.42583363913588496
Elie Cotto,shop,48.8538335,2.3706889,0.41636777575314154
,amenity,48.8545658,2.3714569,0.45295879560226326
,amenity,48.8546657,2.3710379,0.421142177276035
,amenity,48.8550768,2.3704854,0.3782445140718265
,amenity,48.8574064,2.3613257,0.3926329209281941
,amenity,48.8577618,2.3609004,0.44228948731365403
,amenity,48.8521567,2.3677427,0.3687268891835662
Land&Monkeys Beaumarchais,shop,48.8594048,2.367931,0.5189050980056329
Aux 2 Anges,shop,48.8545384,2.3713228,0.44358643051965946
Office Depot,shop,48.8579444,2.3717706,0.570783858643168
Bibliothèque des Amis de l'instruction,amenity,48.8585418,2.364846,0.38822421266845897
Quatre Amis,amenity,48.8521711,2.371401,0.5495695853005339
,amenity,48.8580715,2.3720659,0.5966514351809624
Burger King,amenity,48.8539007,2.3710566,0.4396782593147034
Bio C' Bon,shop,48.8522672,2.3651848,0.31137542575962845
,leisure,48.8551567,2.3656628,0.026369787823102266
,amenity,48.8521228,2.3659836,0.3307333131976715
,amenity,48.8556145,2.3636657,0.13661403817739223
Free'P'Star St. Antoine,shop,48.8545123,2.3633983,0.15460413536395373
Statue de Louis XIV,tourism,48.857134,2.3626426,0.3030466352903126
Frappe,shop,48.8557576,2.3714336,0.45438786026559175
Halte-garderie,amenity,48.8594064,2.3702185,0.6013813566009862
Crèche Municipale,amenity,48.8593028,2.3689081,0.5393913913128365
,tourism,48.8553294,2.3640995,0.09502473519502606
Paul Beuscher,shop,48.8555828,2.3682487,0.22169748958670638
L'Ambroisie,amenity,48.8554103,2.3643002,0.08481375653388123
Scrunchie is Back,shop,48.855898,2.3637766,0.14691478937382793
Zadig & Voltaire,shop,48.8562216,2.3643336,0.14794418223338351
The Kooples,shop,48.8564231,2.3647291,0.157305039688347
Le Cap Horn,amenity,48.8542653,2.3651346,0.09014855738569272
L'Esprit Parisien,shop,48.8543109,2.3651475,0.08499148031818418
Birague Pressing,shop,48.8543763,2.3649173,0.08244025233596944
Ubu Galerie,shop,48.8544339,2.3649392,0.07589806415319159
La Chamade,amenity,48.8542006,2.3648458,0.1025644425058557
La cerise sur la pizza,amenity,48.8537965,2.3646707,0.1492112356347331
Café des Mousquétaires,amenity,48.8537744,2.3647227,0.15036084632672198
Modella,shop,48.853753,2.3648792,0.14967902525104992
Tera Bora,shop,48.8537661,2.364803,0.1496088841009774
Jeff de Bruges,shop,48.8537323,2.364936,0.15106956829882365
Photo Center,shop,48.8537117,2.3650089,0.15239733788355528
,shop,48.8536688,2.3651544,0.15586303831969772
Boulangerie Saint-Antoine,shop,48.8536536,2.3652281,0.1571948759310546
Bältis,amenity,48.8536358,2.36529,0.15902113222827996
Jonak,shop,48.8540788,2.3648052,0.11631689938816472
Les Petites Parisiennes,shop,48.8540886,2.3647408,0.11695619852494923
Bring France Home,shop,48.8543357,2.3649013,0.08707217199632228
Halles Saint-Antoine,shop,48.8535939,2.3654299,0.1638126283702525
Lenôtre Paris,shop,48.8536742,2.3668709,0.19159204488255543
Pharmacie Battino-Borgel,amenity,48.8535577,2.3656033,0.1688634238571153
Rynshu,shop,48.855972,2.364595,0.114369355624372
Dammann Frères,shop,48.8558271,2.3645365,0.10282693066849431
Galerie Michel Estades,shop,48.8558903,2.3646053,0.10606598095784793
Galerie du Marais,shop,48.8564057,2.3651492,0.14963610513119618
Art symbol gallery,shop,48.8564529,2.3648922,0.15761434925589746
Belairfineart,tourism,48.8564242,2.3650472,0.1525263757942413
Galerie d'Art Colette Clavreul,shop,48.8563182,2.3656338,0.14106876927869175
Galerie Artmundi,shop,48.8562198,2.3662863,0.1462574717411449
Sibman gallery,shop,48.8562737,2.3659335,0.14144551160476396
Galerie 26,shop,48.856187,2.3664876,0.15085495249826497
Galerie Mickael Marciano,shop,48.8561949,2.3664407,0.14968233303394488
Art symbol gallery,shop,48.8561156,2.3668233,0.16008729411478195
Galerie Artima,shop,48.855826,2.3667206,0.13247512665572447
Deborah Chock,shop,48.8557542,2.366692,0.12585410846985556
