name,category,latitude,longitude,distance_from_center_km
Angels Club,amenity,55.6786341,12.5720535,0.10071855581270442
Trykbar,amenity,55.6822933,12.5804369,0.6730827581409864
Tycho Brahe,tourism,55.6813004,12.5758935,0.4165582133819175
Water Art,tourism,55.6814245,12.5755539,0.4205926119607341
Vaisenhus Apotek,amenity,55.681653,12.575572,0.4446801323777447
,amenity,55.6814533,12.5754001,0.42005493323673787
Arnold Busck,shop,55.681117,12.5760384,0.4024103609262313
,amenity,55.6780957,12.5716619,0.08901987038388905
,amenity,55.6755018,12.5687239,0.3827970344920891
Danske Bank,amenity,55.6786445,12.5801492,0.45417014660078
,amenity,55.6761326,12.5695853,0.2950930172950498
Spar nord,amenity,55.6759291,12.5711851,0.25092133339719097
,amenity,55.6758828,12.5713205,0.25170937245493435
Oscar,amenity,55.6757728,12.5715987,0.2560929515699545
Villa Vino,amenity,55.6764611,12.5713541,0.19441242165291434
Domhusets Smørrebrød,amenity,55.6767843,12.5720495,0.1413848325360872
,amenity,55.6773628,12.5758121,0.18500762736476753
K Cocktailbar,amenity,55.6779554,12.5807439,0.4844439777321992
Espresso House,amenity,55.6787126,12.580055,0.44975819357001706
Democratic Coffee,amenity,55.680835,12.573416,0.3250334913166296
Café Paludan,amenity,55.6803897,12.5732256,0.27484878126017226
,amenity,55.6775685,12.5726727,0.045869253265269916
,amenity,55.6777216,12.5722291,0.05594120591636951
Dedicated,shop,55.677503,12.571429,0.11183195018129981
Strøgshawarma,amenity,55.6774581,12.5717459,0.09667700369883594
Lagkagehuset,shop,55.6768888,12.570489,0.1977171535306342
Viking Souvenirs,shop,55.6770967,12.5705418,0.18231736594931158
Shawarma Grillhouse,amenity,55.6767719,12.5698547,0.23807197397641688
Bryggeriet Apollo,amenity,55.6748243,12.5661037,0.5564774395191185
The Old Irish Pub Vesterbrogade,amenity,55.6754762,12.5662861,0.504935898903661
The Old English Pub,amenity,55.6755287,12.5664591,0.4926191188823647
Cafe Rex,amenity,55.6812502,12.5794331,0.5465998681015035
Bo-Bi Bar,amenity,55.6810096,12.5786867,0.49406756251580064
Hornsleth,amenity,55.6805487,12.5771236,0.389004572666489
Sole D Italia,amenity,55.6799188,12.5764619,0.3092053454577952
Huks Fluks,amenity,55.6800196,12.5756472,0.2851400982559242
Le Pavé,amenity,55.6797205,12.5754643,0.2514601143352429
Limone,amenity,55.680047,12.5755261,0.283373716126177
Den glade Gris,amenity,55.6800207,12.5746175,0.25365019878163253
Joe & The Juice,amenity,55.6791826,12.5741546,0.15667051794049897
Konditori La Glace,amenity,55.6785929,12.5736372,0.08339052488067789
Espresso Hourse Vimmelskaftet,amenity,55.6786314,12.5738619,0.09416553896239095
CPH Ink,shop,55.678876,12.573312,0.10741631004150883
Sandwich Pigen,amenity,55.6786419,12.5725474,0.08589053125647557
Rådhusbiblioteket,amenity,55.6755517,12.5700009,0.32612372342920437
Kunstforeningen Gl Strand,amenity,55.677533,12.577731,0.29807174378554346
Ekstra Bladet,amenity,55.6769494,12.5684879,0.3064269157311836
Gyldendal,amenity,55.680968,12.5782205,0.47008382305135954
,amenity,55.6738788,12.5744359,0.45872789525778046
7-Eleven,shop,55.6822901,12.5707486,0.5071755713950267
,amenity,55.6776341,12.5808715,0.49351088541311194
Toga Vinstue,amenity,55.6787751,12.5803397,0.46869459384822837
Copenhagen City Bike parking stand,amenity,55.6784813,12.5796021,0.41724920961462264
,amenity,55.6763112,12.5664259,0.4533689650702156
,amenity,55.674822,12.5691802,0.42224675597779127
,amenity,55.6751786,12.56662,0.5066490632104333
,amenity,55.6749483,12.5658328,0.5616970718273379
,amenity,55.6754731,12.5675039,0.44257806104479436
,amenity,55.6754108,12.5672925,0.45733477039508547
Agnete og Havmanden,tourism,55.6776309,12.580185,0.4504489419218071
,amenity,55.677563,12.5807303,0.48523758385130655
,amenity,55.6774662,12.5809771,0.5016913549303753
,amenity,55.6776177,12.580515,0.4712615399062095
,amenity,55.677874,12.576858,0.2400290625830691
,amenity,55.6784175,12.5796327,0.41815923117760856
,amenity,55.678405,12.5795516,0.41291910014581434
,amenity,55.677985,12.5798201,0.4263692343861697
,amenity,55.6795354,12.5745154,0.20196948171060441
,amenity,55.6780034,12.5800112,0.4384267630609795
,amenity,55.677465,12.5771761,0.2649376108264105
,amenity,55.6780896,12.5766638,0.2285009397942542
,amenity,55.6793661,12.5743301,0.17988195136229254
,amenity,55.6784259,12.5763515,0.21549578654512322
,amenity,55.6797093,12.5746843,0.22404809969083286
,amenity,55.6784859,12.5798985,0.43577003040167933
,amenity,55.6754185,12.5689214,0.3808164173532956
,amenity,55.679311,12.5735621,0.15791754501223026
,amenity,55.6790902,12.5717242,0.15417871855000892
,amenity,55.6791884,12.5729291,0.14104632345950432
,amenity,55.6792489,12.5736157,0.15192274599267444
,amenity,55.6790735,12.5718247,0.14927086444517995
,amenity,55.679307,12.5733776,0.15549292488097197
,amenity,55.6797147,12.5722718,0.20528292954048868
,amenity,55.6807945,12.5730657,0.31968204426407953
,amenity,55.6792293,12.5731516,0.14557455106414693
,amenity,55.6804164,12.5730389,0.277583033106097
,amenity,55.6798418,12.5728994,0.21380174512608124
,amenity,55.6791249,12.5726178,0.1364476344036759
,amenity,55.679072,12.5722906,0.13639329715773335
,amenity,55.6761665,12.5743564,0.21230711403698255
,amenity,55.6759934,12.57389,0.2213562505620996
,amenity,55.6760083,12.5755774,0.2662021944901345
,amenity,55.6759209,12.575476,0.2703967037695898
,amenity,55.6770679,12.5774812,0.29496916325824074
,amenity,55.6763145,12.5762961,0.2719352932572619
,amenity,55.6805613,12.5713308,0.31285584609764555
,amenity,55.6770588,12.5730582,0.09624318121269598
,amenity,55.6783246,12.5722614,0.06647324075137383
,amenity,55.6782339,12.5720148,0.07338650183474323
,amenity,55.6772461,12.5733266,0.07745942619666853
,amenity,55.6782717,12.5721407,0.06878900492407214
,amenity,55.6777469,12.572444,0.042522660380437685
,amenity,55.6735565,12.5730531,0.48617093586165805
,amenity,55.6742068,12.5714518,0.42571570343855364
,amenity,55.6781981,12.5656368,0.46696908325640946
,amenity,55.6767122,12.5671798,0.39276791541644884
,amenity,55.6783387,12.5658702,0.4536457245581221
,amenity,55.6737077,12.5738846,0.472309613283448
,amenity,55.6822365,12.5769144,0.5384323694411047
,amenity,55.6821102,12.5765215,0.5149521484379741
,amenity,55.6809874,12.5784567,0.4820236479079198
,amenity,55.6809594,12.5762975,0.39518450761354756
