,name,category,latitude,longitude,distance_from_center_km
1089,,amenity,59.332524,18.076314,0.2067026410711175
1090,,amenity,59.3324799,18.0760898,0.1971119384179698
1091,,amenity,59.3317584,18.0755725,0.2225426473379843
1092,,amenity,59.3317875,18.0757284,0.22619419114721362
1093,,amenity,59.3320477,18.0751819,0.18375192484485645
1094,,amenity,59.3320694,18.075199,0.18267108978428104
1095,,amenity,59.3326018,18.0761522,0.1948844619212479
1096,,amenity,59.3321317,18.0752473,0.1797094094065955
1097,,amenity,59.3322362,18.0753202,0.1749907881592146
1098,,amenity,59.3326091,18.0749223,0.13199014299623157
1099,,amenity,59.3324426,18.0747562,0.13566662109658045
1100,,amenity,59.3324504,18.0746786,0.13180404708871338
1101,,amenity,59.332641,18.0748144,0.12490280744312426
1102,,amenity,59.3326923,18.0753745,0.15019933261546473
1103,,amenity,59.3324711,18.0749288,0.14119474228627088
1104,,amenity,59.3328387,18.0753635,0.1436233762971262
1105,,amenity,59.3326265,18.0748854,0.1291759221976104
1106,,amenity,59.332481,18.074613,0.12674808586557157
1107,,amenity,59.3326402,18.0747458,0.12169304477401358
1108,,amenity,59.3324706,18.0746304,0.128261264823259
1109,Arvfurstens palats,historic,59.329044066389436,18.067594934295066,0.5596823034969108
1110,Bååtska palatset,historic,59.33056091495343,18.076461171075696,0.3594355372538142
1111,Hallwylska palatset,tourism,59.33325489373824,18.074529461914093,0.08863925140983082
1112,,amenity,59.33353635708782,18.076565065690243,0.20697099649529474
1113,,amenity,59.333278900564906,18.076365045800234,0.1931436091976699
1114,Kungsträdgårdens isbana,leisure,59.33143923474054,18.0713735209361,0.22131613840347872
1115,Kungsträdgården,leisure,59.33112852072889,18.071629215984846,0.248411378999482
1116,Humlegården,leisure,59.33937923242344,18.072558139925828,0.6831864971323715
1117,,leisure,59.331533701627556,18.082962380902966,0.5999349565227947
1118,Berzelii park,leisure,59.332513407831186,18.074586696935988,0.12321514104934363
1119,Jakobs kyrka,amenity,59.33044006395006,18.070452797013562,0.3443356649125524
1120,Dramaten,amenity,59.33328042989092,18.07700702498143,0.22968259479464773
1121,Tullhuset,historic,59.32970270230622,18.07873852629349,0.5137252849251249
1122,Nationalmuseum,tourism,59.32847581732225,18.07817341443618,0.6087220012110394
1123,Stora synagogan,amenity,59.331698723651776,18.07375576777925,0.17849777568218142
1124,Hedvig Eleonora kyrka,amenity,59.33521519844791,18.08056058038437,0.48421560627219473
1125,Sergelfontänen,amenity,59.332573259188635,18.06519818030922,0.4488734702041077
1126,Waxholmsbolaget,amenity,59.32944980093706,18.07483285708736,0.43641455671411455
1127,Museiparken,leisure,59.328967868477406,18.078269756174485,0.5643707973606155
1128,Kulturhuset,tourism,59.33201673121019,18.064953787863928,0.47664402207996454
1129,Kristallvertikalaccent,tourism,59.3325678238625,18.065203262041063,0.44869055623978554
1130,Birger Jarlspassagen,tourism,59.333932515747414,18.074196998862664,0.1031386922447305
1131,,amenity,59.33524006657674,18.08063218700556,0.48910367082466955
1132,H M Konungens Hovstall,tourism,59.33294014082283,18.07876028814315,0.33125914279172336
1133,Jafaris,amenity,59.32952090309744,18.065607268340116,0.5902096964302453
1134,,amenity,59.334211416460505,18.080564799606723,0.4452253624120263
1135,,amenity,59.33442301384942,18.079172587323267,0.3763216590332309
1136,Sagerska huset,historic,59.32876194330977,18.06728650239197,0.5956020894130135
1137,Svampen,amenity,59.33612748624894,18.072720767942585,0.3208515973661538
1138,Musikaliska,amenity,59.33108976502142,18.076122336731835,0.30012588842629
1139,,amenity,59.329842960614286,18.078399299051675,0.4893921008567671
1140,,amenity,59.33068024366489,18.070405539407787,0.3214177971154526
1141,Forumdammen,amenity,59.33203423510462,18.07101953450077,0.17522170718010371
1142,,leisure,59.33572107342972,18.07642131635681,0.33809094440015935
1143,Molins fontän,amenity,59.33078054735968,18.071768860401118,0.28351967957539287
