,name,category,latitude,longitude,distance_from_center_km
160,Lav'Club Ortolan,shop,48.8432537,2.3499279,0.3702719901665787
161,Bowling,leisure,48.8421688,2.3501837,0.25116788396115186
162,Résidence Mouffetard,tourism,48.8432503,2.3497657,0.36975460807010685
163,Franprix,shop,48.8421866,2.3495998,0.25183887775982977
164,Les Trésors de Perse,shop,48.8434194,2.3495699,0.3888851662207388
165,Poke House,amenity,48.8433391,2.3495909,0.37990123542239385
166,Jean-Paul Hévin,shop,48.8433722,2.3495822,0.38360413123641796
167,Lamian Latian,amenity,48.8408091,2.3491463,0.1089727839913585
168,V.O. Boutik,shop,48.8436278,2.349521,0.41219707301890735
169,Rebalto,amenity,48.8435295,2.3495487,0.4011840440863642
170,Gelati d'Alberto,amenity,48.8435991,2.3495369,0.40895485159556183
171,Edogawa,amenity,48.843674,2.3495038,0.41739024410143105
172,Institut Curie,amenity,48.8426449,2.3435197,0.5505971055509536
173,Banh Mi Viet,amenity,48.8406126,2.3513905,0.14028903325661388
174,,amenity,48.8414118,2.3440069,0.45540441329033793
175,,amenity,48.8425735,2.3448266,0.46834135043249764
176,,amenity,48.8424224,2.3451614,0.4386730231182638
177,Presse Tabac,shop,48.8443822,2.3483727,0.5063936166041471
178,Maison des Trois Thés,amenity,48.8433693,2.3513433,0.39964247626949684
179,Amorino,amenity,48.8443095,2.3492103,0.4893805679479636
180,La Petite Bretonne,amenity,48.8434198,2.3494224,0.3895251136062905
181,Le Vieux Bistrot,amenity,48.8432628,2.3494718,0.37186526201346093
182,Salle de Sport Amyot,leisure,48.8434375,2.3475285,0.42431960430208787
183,Guang Ming,amenity,48.844013,2.3472343,0.4916951865792111
184,EV,amenity,48.8384463,2.3563464,0.5087704589941069
185,Chez Nicos,amenity,48.843577,2.3493886,0.40713813436847596
186,Vert & Jaune,shop,48.8435263,2.3494004,0.4014524992700938
187,Le Seven,tourism,48.8389861,2.3455789,0.3261414854139103
188,Singh Nature,amenity,48.8437872,2.3493332,0.4307523753140794
189,Oulala,amenity,48.8442707,2.3492157,0.48504763264417006
190,Obj'ai trouvé,shop,48.8437293,2.34935,0.4242379565587844
